full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
sugyan/claude-code-webui,814,814,184,0,0,0,https://github.com/sugyan/claude-code-webui
rizethereum/claude-code-requirements-builder,1725,1725,172,0,0,0,https://github.com/rizethereum/claude-code-requirements-builder
nishimoto265/Claude-Code-Communication,469,469,218,0,0,0,https://github.com/nishimoto265/Claude-Code-Communication
centminmod/my-claude-code-setup,1602,1602,158,0,0,1,https://github.com/centminmod/my-claude-code-setup
ComposioHQ/awesome-claude-skills,16421,16421,1696,92,92,8,https://github.com/ComposioHQ/awesome-claude-skills
andrepimenta/claude-code-chat,965,965,142,0,0,0,https://github.com/andrepimenta/claude-code-chat
upstash/context7,41277,41277,2022,14,14,0,https://github.com/upstash/context7
router-for-me/CLIProxyAPI,5856,5856,876,22,22,4,https://github.com/router-for-me/CLIProxyAPI
winfunc/opcode,19817,19817,1528,-1,-1,-1,https://github.com/winfunc/opcode
EnzeD/vibe-coding,3585,3585,1089,2,2,-1,https://github.com/EnzeD/vibe-coding
peterkrueck/Claude-Code-Development-Kit,1269,1269,144,-3,-3,0,https://github.com/peterkrueck/Claude-Code-Development-Kit
Njengah/claude-code-cheat-sheet,1122,1122,139,3,3,0,https://github.com/Njengah/claude-code-cheat-sheet
darcyegb/ClaudeCodeAgents,452,452,39,0,0,0,https://github.com/darcyegb/ClaudeCodeAgents
steipete/claude-code-mcp,991,991,110,-1,-1,0,https://github.com/steipete/claude-code-mcp
revfactory/claude-code-mastering,733,733,117,1,1,0,https://github.com/revfactory/claude-code-mastering
disler/claude-code-hooks-multi-agent-observability,891,891,273,1,1,0,https://github.com/disler/claude-code-hooks-multi-agent-observability
wasabeef/claude-code-cookbook,933,933,103,0,0,0,https://github.com/wasabeef/claude-code-cookbook
JessyTsui/Claude-Code-Remote,935,935,101,0,0,0,https://github.com/JessyTsui/Claude-Code-Remote
0xfurai/claude-code-subagents,621,621,122,1,1,0,https://github.com/0xfurai/claude-code-subagents
zed-industries/claude-code-acp,702,702,103,1,1,2,https://github.com/zed-industries/claude-code-acp
opactorai/Claudable,3563,3563,554,5,5,0,https://github.com/opactorai/Claudable
EveryInc/compound-engineering-plugin,4093,4093,344,37,37,3,https://github.com/EveryInc/compound-engineering-plugin
slopus/happy,6792,6792,502,8,8,1,https://github.com/slopus/happy
kn1026/cc,696,696,265,-2,-2,0,https://github.com/kn1026/cc
anthropics/claude-agent-sdk-python,3968,3968,520,6,6,0,https://github.com/anthropics/claude-agent-sdk-python
superdesigndev/superdesign,5681,5681,656,0,0,0,https://github.com/superdesigndev/superdesign
alirezarezvani/claude-code-tresor,418,418,106,-2,-2,0,https://github.com/alirezarezvani/claude-code-tresor
catlog22/Claude-Code-Workflow,888,888,75,0,0,0,https://github.com/catlog22/Claude-Code-Workflow
lyconear/Claude-Code,4,4,143,0,0,0,https://github.com/lyconear/Claude-Code
pchalasani/claude-code-tools,979,979,72,-2,-2,0,https://github.com/pchalasani/claude-code-tools
severity1/claude-code-prompt-improver,1035,1035,95,-2,-2,0,https://github.com/severity1/claude-code-prompt-improver
ericbuess/claude-code-docs,536,536,87,0,0,1,https://github.com/ericbuess/claude-code-docs
numman-ali/openskills,4355,4355,321,7,7,0,https://github.com/numman-ali/openskills
greggh/claude-code.nvim,1696,1696,53,1,1,0,https://github.com/greggh/claude-code.nvim
simonw/claude-code-transcripts,705,705,73,2,2,1,https://github.com/simonw/claude-code-transcripts
zsio/claude-code-hub,146,146,145,0,0,1,https://github.com/zsio/claude-code-hub
Matt-Dionis/claude-code-configs,589,589,79,1,1,0,https://github.com/Matt-Dionis/claude-code-configs
anthropics/claude-agent-sdk-demos,1028,1028,164,9,9,1,https://github.com/anthropics/claude-agent-sdk-demos
d-kimuson/claude-code-viewer,765,765,68,1,1,0,https://github.com/d-kimuson/claude-code-viewer
jeremylongshore/claude-code-plugins-plus-skills,919,919,111,1,1,0,https://github.com/jeremylongshore/claude-code-plugins-plus-skills
manzaltu/claude-code-ide.el,1241,1241,69,1,1,0,https://github.com/manzaltu/claude-code-ide.el
coleam00/context-engineering-intro,12121,12121,2567,-1,-1,2,https://github.com/coleam00/context-engineering-intro
frankbria/ralph-claude-code,771,771,59,33,33,5,https://github.com/frankbria/ralph-claude-code
BloopAI/vibe-kanban,14144,14144,1320,60,60,8,https://github.com/BloopAI/vibe-kanban
MadAppGang/claude-code,202,202,19,0,0,0,https://github.com/MadAppGang/claude-code
UfoMiao/zcf,5119,5119,358,1,1,0,https://github.com/UfoMiao/zcf
hesreallyhim/a-list-of-claude-code-agents,1119,1119,109,0,0,0,https://github.com/hesreallyhim/a-list-of-claude-code-agents
nextlevelbuilder/ui-ux-pro-max-skill,9432,9432,1026,82,82,1,https://github.com/nextlevelbuilder/ui-ux-pro-max-skill
gurusup/claude-code-demo,70,70,154,0,0,0,https://github.com/gurusup/claude-code-demo
Dicklesworthstone/claude_code_agent_farm,620,620,73,0,0,0,https://github.com/Dicklesworthstone/claude_code_agent_farm
stretchcloud/claude-code-unified-agents,720,720,70,-1,-1,0,https://github.com/stretchcloud/claude-code-unified-agents
oraios/serena,18331,18331,1251,6,6,1,https://github.com/oraios/serena
cexll/myclaude,1656,1656,213,-1,-1,0,https://github.com/cexll/myclaude
glidea/claude-worker-proxy,239,239,119,0,0,0,https://github.com/glidea/claude-worker-proxy
daaain/claude-code-log,616,616,53,0,0,0,https://github.com/daaain/claude-code-log
anomalyco/opencode,55177,55177,4714,180,180,28,https://github.com/anomalyco/opencode
IncomeStreamSurfer/claude-code-agents-wizard-v2,307,307,158,0,0,0,https://github.com/IncomeStreamSurfer/claude-code-agents-wizard-v2
zhukunpenglinyutong/idea-claude-code-gui,583,583,66,2,2,0,https://github.com/zhukunpenglinyutong/idea-claude-code-gui
breaking-brake/cc-wf-studio,2307,2307,254,5,5,0,https://github.com/breaking-brake/cc-wf-studio
jarrodwatts/claude-code-config,443,443,55,0,0,0,https://github.com/jarrodwatts/claude-code-config
iannuttall/claude-agents,1954,1954,263,-1,-1,0,https://github.com/iannuttall/claude-agents
stevemolitor/claude-code.el,573,573,51,0,0,0,https://github.com/stevemolitor/claude-code.el
disler/claude-code-is-programmable,278,278,90,0,0,0,https://github.com/disler/claude-code-is-programmable
nikivdev/research,4857,4857,567,-2,-2,0,https://github.com/nikivdev/research
ykdojo/claude-code-tips,660,660,43,5,5,1,https://github.com/ykdojo/claude-code-tips
anthropics/claude-plugins-official,2012,2012,243,9,9,8,https://github.com/anthropics/claude-plugins-official
ericc-ch/copilot-api,1945,1945,335,1,1,0,https://github.com/ericc-ch/copilot-api
