full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
ericc-ch/copilot-api,1880,1880,323,2,2,0,https://github.com/ericc-ch/copilot-api
sst/opencode,45257,45257,3906,97,97,14,https://github.com/sst/opencode
humanlayer/humanlayer,8390,8390,691,5,5,1,https://github.com/humanlayer/humanlayer
nikivdev/research,4853,4853,568,0,0,0,https://github.com/nikivdev/research
omnara-ai/omnara,2567,2567,187,0,0,0,https://github.com/omnara-ai/omnara
BeehiveInnovations/pal-mcp-server,10702,10702,906,1,1,0,https://github.com/BeehiveInnovations/pal-mcp-server
seifghazi/claude-code-proxy,327,327,52,0,0,0,https://github.com/seifghazi/claude-code-proxy
SuperClaude-Org/SuperClaude_Framework,19676,19676,1709,13,13,1,https://github.com/SuperClaude-Org/SuperClaude_Framework
9j/claude-code-mux,423,423,44,2,2,0,https://github.com/9j/claude-code-mux
maxritter/claude-codepro,321,321,37,0,0,0,https://github.com/maxritter/claude-codepro
